"Column Name","Label"
"S0201_012MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!25 to 34 years"
"S0201_013E","Estimate!!SEX AND AGE!!Total population!!35 to 44 years"
"S0201_013EA","Annotation of Estimate!!SEX AND AGE!!Total population!!35 to 44 years"
"S0201_013M","Margin of Error!!SEX AND AGE!!Total population!!35 to 44 years"
"S0201_013MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!35 to 44 years"
"S0201_014E","Estimate!!SEX AND AGE!!Total population!!45 to 54 years"
"S0201_014M","Margin of Error!!SEX AND AGE!!Total population!!45 to 54 years"
"S0201_014MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!45 to 54 years"
"S0201_014EA","Annotation of Estimate!!SEX AND AGE!!Total population!!45 to 54 years"
"S0201_015E","Estimate!!SEX AND AGE!!Total population!!55 to 64 years"
"S0201_015EA","Annotation of Estimate!!SEX AND AGE!!Total population!!55 to 64 years"
"S0201_015M","Margin of Error!!SEX AND AGE!!Total population!!55 to 64 years"
"S0201_015MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!55 to 64 years"
"S0201_016E","Estimate!!SEX AND AGE!!Total population!!65 to 74 years"
"S0201_016M","Margin of Error!!SEX AND AGE!!Total population!!65 to 74 years"
"S0201_016MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 to 74 years"
"S0201_016EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 to 74 years"
"S0201_017E","Estimate!!SEX AND AGE!!Total population!!75 years and over"
"S0201_017M","Margin of Error!!SEX AND AGE!!Total population!!75 years and over"
"S0201_017MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!75 years and over"
"S0201_017EA","Annotation of Estimate!!SEX AND AGE!!Total population!!75 years and over"
"S0201_018E","Estimate!!SEX AND AGE!!Total population!!Median age (years)"
"S0201_018M","Margin of Error!!SEX AND AGE!!Total population!!Median age (years)"
"S0201_018MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Median age (years)"
"S0201_018EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Median age (years)"
"S0201_019E","Estimate!!SEX AND AGE!!Total population!!18 years and over"
"S0201_019EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over"
"S0201_019M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"S0201_019MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"S0201_020E","Estimate!!SEX AND AGE!!Total population!!21 years and over"
"S0201_020EA","Annotation of Estimate!!SEX AND AGE!!Total population!!21 years and over"
"S0201_020M","Margin of Error!!SEX AND AGE!!Total population!!21 years and over"
"S0201_020MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!21 years and over"
"S0201_021E","Estimate!!SEX AND AGE!!Total population!!62 years and over"
"S0201_021M","Margin of Error!!SEX AND AGE!!Total population!!62 years and over"
"S0201_021MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!62 years and over"
"S0201_021EA","Annotation of Estimate!!SEX AND AGE!!Total population!!62 years and over"
"S0201_022E","Estimate!!SEX AND AGE!!Total population!!65 years and over"
"S0201_022EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over"
"S0201_022M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"S0201_022MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"S0201_023E","Estimate!!SEX AND AGE!!Total population!!Under 18 years"
"S0201_023EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Under 18 years"
"S0201_023M","Margin of Error!!SEX AND AGE!!Total population!!Under 18 years"
"S0201_023MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Under 18 years"
"S0201_024E","Estimate!!SEX AND AGE!!Total population!!Under 18 years!!Male"
"S0201_024EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Under 18 years!!Male"
"S0201_024M","Margin of Error!!SEX AND AGE!!Total population!!Under 18 years!!Male"
"S0201_024MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Under 18 years!!Male"
"S0201_025E","Estimate!!SEX AND AGE!!Total population!!Under 18 years!!Female"
"S0201_025EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Under 18 years!!Female"
"S0201_025M","Margin of Error!!SEX AND AGE!!Total population!!Under 18 years!!Female"
"S0201_025MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Under 18 years!!Female"
"S0201_026E","Estimate!!SEX AND AGE!!Total population!!18 years and over"
"S0201_026M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"S0201_026MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"S0201_026EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over"
"S0201_027E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male"
"S0201_027M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Male"
"S0201_027MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Male"
"S0201_027EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male"
"S0201_028E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female"
"S0201_028EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female"
"S0201_028M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Female"
"S0201_028MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Female"
"S0201_029E","Estimate!!SEX AND AGE!!Total population!!18 to 34 years"
"S0201_029EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 to 34 years"
"S0201_029M","Margin of Error!!SEX AND AGE!!Total population!!18 to 34 years"
"S0201_029MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 to 34 years"
"S0201_030E","Estimate!!SEX AND AGE!!Total population!!18 to 34 years!!Male"
"S0201_030EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 to 34 years!!Male"
"S0201_030M","Margin of Error!!SEX AND AGE!!Total population!!18 to 34 years!!Male"
"S0201_030MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 to 34 years!!Male"
"S0201_031E","Estimate!!SEX AND AGE!!Total population!!18 to 34 years!!Female"
"S0201_031EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 to 34 years!!Female"
"S0201_031M","Margin of Error!!SEX AND AGE!!Total population!!18 to 34 years!!Female"
"S0201_031MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 to 34 years!!Female"
"S0201_032E","Estimate!!SEX AND AGE!!Total population!!35 to 64 years"
"S0201_032M","Margin of Error!!SEX AND AGE!!Total population!!35 to 64 years"
"S0201_032MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!35 to 64 years"
"S0201_032EA","Annotation of Estimate!!SEX AND AGE!!Total population!!35 to 64 years"
"S0201_033E","Estimate!!SEX AND AGE!!Total population!!35 to 64 years!!Male"
"S0201_033EA","Annotation of Estimate!!SEX AND AGE!!Total population!!35 to 64 years!!Male"
"S0201_033M","Margin of Error!!SEX AND AGE!!Total population!!35 to 64 years!!Male"
"S0201_033MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!35 to 64 years!!Male"
"S0201_034E","Estimate!!SEX AND AGE!!Total population!!35 to 64 years!!Female"
"S0201_034M","Margin of Error!!SEX AND AGE!!Total population!!35 to 64 years!!Female"
"S0201_034MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!35 to 64 years!!Female"
"S0201_034EA","Annotation of Estimate!!SEX AND AGE!!Total population!!35 to 64 years!!Female"
"S0201_035E","Estimate!!SEX AND AGE!!Total population!!65 years and over"
"S0201_035EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over"
"S0201_035M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"S0201_035MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"S0201_036E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male"
"S0201_036EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male"
"S0201_036M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Male"
"S0201_036MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Male"
"S0201_037E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female"
"S0201_037M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female"
"S0201_037MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female"
"S0201_037EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female"
"S0201_038E","Estimate!!RELATIONSHIP!!Population in households"
"S0201_038EA","Annotation of Estimate!!RELATIONSHIP!!Population in households"
"S0201_038M","Margin of Error!!RELATIONSHIP!!Population in households"
"S0201_038MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households"
"S0201_039E","Estimate!!RELATIONSHIP!!Population in households!!Householder or spouse"
"S0201_039EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Householder or spouse"
"S0201_039M","Margin of Error!!RELATIONSHIP!!Population in households!!Householder or spouse"
"S0201_039MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Householder or spouse"
"S0201_040E","Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner"
"S0201_040M","Margin of Error!!RELATIONSHIP!!Population in households!!Unmarried partner"
"S0201_040MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Unmarried partner"
"S0201_040EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner"
"S0201_041E","Estimate!!RELATIONSHIP!!Population in households!!Child"
"S0201_041EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Child"
"S0201_041M","Margin of Error!!RELATIONSHIP!!Population in households!!Child"
"S0201_041MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Child"
"S0201_042E","Estimate!!RELATIONSHIP!!Population in households!!Other relatives"
"S0201_042EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Other relatives"
"S0201_042M","Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives"
"S0201_042MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives"
"S0201_043E","Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"S0201_043EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"S0201_043M","Margin of Error!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"S0201_043MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"S0201_044E","Estimate!!HOUSEHOLDS BY TYPE!!Households"
"S0201_044EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households"
"S0201_044M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households"
"S0201_044MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households"
"S0201_045E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households"
"S0201_045M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Family households"
"S0201_045MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Family households"
"S0201_045EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households"
"S0201_046E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households!!With own children of the householder under 18 years"
"S0201_046M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Family households!!With own children of the householder under 18 years"
"S0201_046MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Family households!!With own children of the householder under 18 years"
"S0201_046EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Family households!!With own children of the householder under 18 years"
"S0201_047E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family"
"S0201_047EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family"
"S0201_047M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family"
"S0201_047MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family"
"S0201_048E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family!!With own children of the householder under 18 years"
"S0201_048EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family!!With own children of the householder under 18 years"
"S0201_048M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family!!With own children of the householder under 18 years"
"S0201_048MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Married-couple family!!With own children of the householder under 18 years"
"S0201_049E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family"
"S0201_049EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family"
"S0201_049M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family"
"S0201_049MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family"
"S0201_050E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family!!With own children of the householder under 18 years"
"S0201_050M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family!!With own children of the householder under 18 years"
"S0201_050MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family!!With own children of the householder under 18 years"
"S0201_050EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Female householder, no spouse present, family!!With own children of the householder under 18 years"
"S0201_051E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households"
"S0201_051EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households"
"S0201_051M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households"
"S0201_051MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households"
"S0201_052E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder"
"S0201_052EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder"
"S0201_052M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder"
"S0201_052MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder"
"S0201_053E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Living alone"
"S0201_053M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Living alone"
"S0201_053MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Living alone"
"S0201_053EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Living alone"
"S0201_054E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Not living alone"
"S0201_054M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Not living alone"
"S0201_054MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Not living alone"
"S0201_054EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Male householder!!Not living alone"
"S0201_055E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder"
"S0201_055M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder"
"S0201_055MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder"
"S0201_055EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder"
"S0201_056E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Living alone"
"S0201_056M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Living alone"
"S0201_056MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Living alone"
"S0201_056EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Living alone"
"S0201_057E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Not living alone"
"S0201_057EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Not living alone"
"S0201_057M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Not living alone"
"S0201_057MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Female householder!!Not living alone"
"S0201_058E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Average household size"
"S0201_058EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Average household size"
"S0201_058M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Average household size"
"S0201_058MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Average household size"
"S0201_059E","Estimate!!HOUSEHOLDS BY TYPE!!Households!!Average family size"
"S0201_059EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households!!Average family size"
"S0201_059M","Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Average family size"
"S0201_059MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Households!!Average family size"
"S0201_060E","Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0201_060M","Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0201_060MA","Annotation of Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0201_060EA","Annotation of Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0201_061E","Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0201_061M","Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0201_061MA","Annotation of Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0201_061EA","Annotation of Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0201_062E","Estimate!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0201_062EA","Annotation of Estimate!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0201_062M","Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0201_062MA","Annotation of Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0201_063E","Estimate!!MARITAL STATUS!!Population 15 years and over!!Divorced"
"S0201_063EA","Annotation of Estimate!!MARITAL STATUS!!Population 15 years and over!!Divorced"
"S0201_063M","Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Divorced"
"S0201_063MA","Annotation of Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Divorced"
"S0201_064E","Estimate!!MARITAL STATUS!!Population 15 years and over!!Separated"
"S0201_064EA","Annotation of Estimate!!MARITAL STATUS!!Population 15 years and over!!Separated"
"S0201_064M","Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Separated"
"S0201_064MA","Annotation of Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Separated"
"S0201_065E","Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0201_065EA","Annotation of Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0201_065M","Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0201_065MA","Annotation of Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0201_066E","Estimate!!MARITAL STATUS!!Male 15 years and over"
"S0201_066EA","Annotation of Estimate!!MARITAL STATUS!!Male 15 years and over"
"S0201_066M","Margin of Error!!MARITAL STATUS!!Male 15 years and over"
"S0201_066MA","Annotation of Margin of Error!!MARITAL STATUS!!Male 15 years and over"
"S0201_067E","Estimate!!MARITAL STATUS!!Male 15 years and over!!Now married, except separated"
"S0201_067M","Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Now married, except separated"
"S0201_067MA","Annotation of Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Now married, except separated"
"S0201_067EA","Annotation of Estimate!!MARITAL STATUS!!Male 15 years and over!!Now married, except separated"
"S0201_068E","Estimate!!MARITAL STATUS!!Male 15 years and over!!Widowed"
"S0201_068EA","Annotation of Estimate!!MARITAL STATUS!!Male 15 years and over!!Widowed"
"S0201_068M","Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Widowed"
"S0201_068MA","Annotation of Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Widowed"
"S0201_069E","Estimate!!MARITAL STATUS!!Male 15 years and over!!Divorced"
"S0201_069EA","Annotation of Estimate!!MARITAL STATUS!!Male 15 years and over!!Divorced"
"S0201_069M","Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Divorced"
"S0201_069MA","Annotation of Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Divorced"
"S0201_070E","Estimate!!MARITAL STATUS!!Male 15 years and over!!Separated"
"S0201_070EA","Annotation of Estimate!!MARITAL STATUS!!Male 15 years and over!!Separated"
"S0201_070M","Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Separated"
"S0201_070MA","Annotation of Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Separated"
"S0201_071E","Estimate!!MARITAL STATUS!!Male 15 years and over!!Never married"
"S0201_071EA","Annotation of Estimate!!MARITAL STATUS!!Male 15 years and over!!Never married"
"S0201_071M","Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Never married"
"S0201_071MA","Annotation of Margin of Error!!MARITAL STATUS!!Male 15 years and over!!Never married"
"S0201_072E","Estimate!!MARITAL STATUS!!Female 15 years and over"
"S0201_072EA","Annotation of Estimate!!MARITAL STATUS!!Female 15 years and over"
"S0201_072M","Margin of Error!!MARITAL STATUS!!Female 15 years and over"
"S0201_072MA","Annotation of Margin of Error!!MARITAL STATUS!!Female 15 years and over"
"S0201_073E","Estimate!!MARITAL STATUS!!Female 15 years and over!!Now married, except separated"
"S0201_073EA","Annotation of Estimate!!MARITAL STATUS!!Female 15 years and over!!Now married, except separated"
"S0201_073M","Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Now married, except separated"
"S0201_073MA","Annotation of Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Now married, except separated"
"S0201_074E","Estimate!!MARITAL STATUS!!Female 15 years and over!!Widowed"
"S0201_074EA","Annotation of Estimate!!MARITAL STATUS!!Female 15 years and over!!Widowed"
"S0201_074M","Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Widowed"
"S0201_074MA","Annotation of Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Widowed"
"S0201_075E","Estimate!!MARITAL STATUS!!Female 15 years and over!!Divorced"
"S0201_075EA","Annotation of Estimate!!MARITAL STATUS!!Female 15 years and over!!Divorced"
"S0201_075M","Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Divorced"
"S0201_075MA","Annotation of Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Divorced"
"S0201_076E","Estimate!!MARITAL STATUS!!Female 15 years and over!!Separated"
"S0201_076M","Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Separated"
"S0201_076MA","Annotation of Margin of Error!!MARITAL STATUS!!Female 15 years and over!!Separated"
"S0201_076EA","Annotation of Estimate!!MARITAL STATUS!!Female 15 years and over!!Separated"
"S0201_077E","Estimate!!MARITAL STATUS!!Female 15 years and over!!Never married"
